Iteration,temps total,temps attente agv2,stock max warehouse
868,6109.92,87.17,1
869,6116.06,91.39,1
870,6128.23,90.61,1
871,6181.66,90.75,1
872,6107.36,92.34,1
873,6091.53,91.06,1
874,6123.64,84.94,1
875,6122.04,89.65,1
876,6161.31,97.55,1
877,6105.88,88.29,1
878,6133.23,92.96,1
879,6098.12,91.39,1
880,6073.69,89.67,1
881,6131.29,98.06,1
882,6098.60,90.84,1
883,6130.49,93.83,1
884,6116.72,93.96,1
885,6138.72,96.32,1
886,6122.14,90.57,1
887,6135.22,89.00,1
888,6095.08,89.34,1
889,6098.72,83.39,1
890,6128.08,94.09,1
891,6092.17,90.34,1
892,6150.94,91.83,1
893,6166.70,93.76,1
894,6087.65,88.62,1
895,6110.34,85.88,1
896,6157.65,90.91,1
897,6073.34,91.48,1
898,6130.60,94.90,1
899,6087.55,80.03,1
900,6108.07,82.73,1
901,6124.26,89.32,1
902,6097.13,95.07,1
903,6129.75,85.82,1
904,6130.42,90.62,1
905,6134.29,91.89,1
906,6112.75,94.57,1
907,6129.69,95.79,1
908,6128.07,93.61,1
909,6121.75,81.01,1
910,6136.39,95.03,1
911,6137.50,89.85,1
912,6202.15,94.74,1
913,6155.09,95.77,1
914,6089.01,88.06,1
915,6148.86,95.31,1
916,6071.76,85.46,1
917,6127.89,90.00,1
918,6137.57,90.64,1
919,6167.36,93.88,1
920,6184.80,90.61,1
921,6121.23,89.07,1
922,6129.43,91.52,1
923,6151.87,94.42,1
924,6083.26,95.17,1
925,6136.99,92.54,1
926,6137.26,97.92,1
927,6119.02,86.13,1
928,6133.47,92.91,1
929,6091.86,89.82,1
930,6133.49,90.69,1
931,6131.07,87.32,1
932,6101.13,94.74,1
933,6126.68,84.42,1
934,6123.34,92.56,1
935,6135.38,89.86,1
936,6103.80,90.79,1
937,6134.24,91.86,1
938,6093.17,89.59,1
939,6132.02,99.45,1
940,6118.07,87.30,1
941,6061.20,91.86,1
942,6112.98,85.32,1
943,6159.21,88.20,1
944,6145.34,88.95,1
945,6132.93,88.55,1
946,6158.44,96.28,1
947,6125.69,82.40,1
948,6127.55,93.97,1
949,6123.92,94.16,1
950,6168.35,89.94,1
951,6163.15,92.24,1
952,6115.54,96.93,1
953,6128.42,95.01,1
954,6092.92,90.70,1
955,6113.15,88.77,1
956,6120.25,91.25,1
957,6107.51,85.75,1
958,6096.93,93.87,1
959,6122.94,89.79,1
960,6077.24,84.66,1
961,6141.61,100.13,1
962,6123.92,90.26,1
963,6113.55,84.83,1
964,6119.91,94.36,1
965,6148.13,87.81,1
966,6121.32,82.32,1
967,6150.00,84.86,1
968,6156.46,93.09,1
969,6106.20,90.99,1
970,6112.87,84.27,1
971,6134.70,96.08,1
972,6102.81,79.57,1
973,6140.17,91.10,1
974,6125.64,91.01,1
975,6109.52,92.54,1
976,6086.07,92.71,1
977,6143.56,88.90,1
978,6112.72,81.52,1
979,6128.31,92.26,1
980,6121.74,84.83,1
981,6100.08,85.96,1
982,6092.92,91.96,1
983,6109.18,90.84,1
984,6118.60,99.92,1
985,6136.66,88.10,1
986,6120.66,90.82,1
987,6049.64,92.06,1
988,6152.29,91.92,1
989,6095.51,84.97,1
990,6066.70,88.96,1
991,6137.20,84.09,1
992,6120.49,97.84,1
993,6111.73,83.53,1
994,6138.04,88.24,1
995,6169.08,97.02,1
996,6144.51,94.41,1
997,6097.06,84.32,1
998,6108.31,89.68,1
999,6055.70,88.83,1
1000,6124.12,95.46,1
1001,6102.26,90.35,1
1002,6110.79,83.65,1
1003,6133.42,87.71,1
1004,6076.89,93.53,1
1005,6117.39,97.02,1
1006,6120.98,86.84,1
1007,6106.35,86.79,1
1008,6110.31,94.28,1
1009,6123.96,84.52,1
1010,6144.39,88.92,1
1011,6151.92,90.66,1
1012,6093.23,88.33,1
1013,6163.06,89.71,1
1014,6106.26,93.00,1
1015,6089.26,89.96,1
1016,6169.88,93.66,1
1017,6111.55,96.65,1
1018,6142.15,96.35,1
1019,6153.78,89.30,1
1020,6138.88,84.67,1
1021,6193.05,90.26,1
1022,6084.11,89.98,1
1023,6142.86,93.91,1
1024,6147.76,95.45,1
1025,6105.19,93.00,1
1026,6112.30,90.19,1
1027,6132.05,92.96,1
1028,6080.58,90.89,1
1029,6116.74,96.20,1
1030,6073.25,92.37,1
1031,6131.62,91.24,1
1032,6118.46,92.22,1
1033,6117.19,85.44,1
1034,6115.94,95.38,1
1035,6180.01,90.45,1
1036,6141.17,89.52,1
1037,6127.15,84.15,1
1038,6079.39,93.88,1
1039,6119.90,89.96,1
1040,6127.43,87.75,1
1041,6125.80,96.13,1
1042,6145.89,92.61,1
1043,6139.06,90.42,1
1044,6070.08,93.36,1
1045,6137.12,98.55,1
1046,6092.71,89.69,1
1047,6112.85,85.66,1
1048,6121.05,84.79,1
1049,6197.15,90.02,1
1050,6109.68,89.27,1
1051,6079.45,91.31,1
1052,6134.74,92.62,1
1053,6067.83,90.10,1
1054,6112.71,86.80,1
1055,6109.63,97.16,1
1056,6094.71,91.04,1
1057,6136.97,92.02,1
1058,6100.99,91.34,1
1059,6089.08,91.23,1
1060,6120.07,94.91,1
1061,6147.75,93.18,1
1062,6100.26,93.13,1
